Disease,Disease Code,State,Year,Gender,Age,Age Code,STD Cases,Population,Rate per 100K
Chlamydia,274,Alabama,2009,Male,0-14 years,0-14,34,477172,7.13
Chlamydia,274,Alabama,2009,Male,15-19 years,15-19,1673,167091,1001.25
Chlamydia,274,Alabama,2009,Male,20-24 years,20-24,2649,166662,1589.44
Chlamydia,274,Alabama,2009,Male,25-29 years,25-29,1163,162536,715.53
Chlamydia,274,Alabama,2009,Male,30-34 years,30-34,509,145329,350.24
Chlamydia,274,Alabama,2009,Male,35-39 years,35-39,212,151296,140.12
Chlamydia,274,Alabama,2009,Male,40+ years,40+,258,1011526,25.51
Chlamydia,274,Alabama,2009,Male,Unknown,99,10,,
Chlamydia,274,Alabama,2010,Male,0-14 years,0-14,35,476022,7.35
Chlamydia,274,Alabama,2010,Male,15-19 years,15-19,1840,175151,1050.52
Chlamydia,274,Alabama,2010,Male,20-24 years,20-24,2816,167520,1680.99
Chlamydia,274,Alabama,2010,Male,25-29 years,25-29,1145,153716,744.88
Chlamydia,274,Alabama,2010,Male,30-34 years,30-34,539,146424,368.11
Chlamydia,274,Alabama,2010,Male,35-39 years,35-39,221,151078,146.28
Chlamydia,274,Alabama,2010,Male,40+ years,40+,271,1050277,25.8
Chlamydia,274,Alabama,2010,Male,Unknown,99,10,,
Chlamydia,274,Alabama,2011,Male,0-14 years,0-14,44,474878,9.27
Chlamydia,274,Alabama,2011,Male,15-19 years,15-19,2007,170749,1175.41
Chlamydia,274,Alabama,2011,Male,20-24 years,20-24,3226,173150,1863.12
Chlamydia,274,Alabama,2011,Male,25-29 years,25-29,1307,152969,854.42
Chlamydia,274,Alabama,2011,Male,30-34 years,30-34,545,149620,364.26
Chlamydia,274,Alabama,2011,Male,35-39 years,35-39,245,144329,169.75
Chlamydia,274,Alabama,2011,Male,40+ years,40+,262,1063796,24.63
Chlamydia,274,Alabama,2011,Male,Unknown,99,12,,
Chlamydia,274,Alabama,2012,Male,0-14 years,0-14,42,475717,8.83
Chlamydia,274,Alabama,2012,Male,15-19 years,15-19,2093,165508,1264.59
Chlamydia,274,Alabama,2012,Male,20-24 years,20-24,3435,176160,1949.93
Chlamydia,274,Alabama,2012,Male,25-29 years,25-29,1439,153084,940.01
Chlamydia,274,Alabama,2012,Male,30-34 years,30-34,661,151045,437.62
Chlamydia,274,Alabama,2012,Male,35-39 years,35-39,287,142261,201.74
Chlamydia,274,Alabama,2012,Male,40+ years,40+,333,1074782,30.98
Chlamydia,274,Alabama,2012,Male,Unknown,99,5,,
Chlamydia,274,Alabama,2013,Male,0-14 years,0-14,51,469840,10.85
Chlamydia,274,Alabama,2013,Male,15-19 years,15-19,1942,163751,1185.95
Chlamydia,274,Alabama,2013,Male,20-24 years,20-24,3416,178447,1914.29
Chlamydia,274,Alabama,2013,Male,25-29 years,25-29,1492,153647,971.06
Chlamydia,274,Alabama,2013,Male,30-34 years,30-34,657,152362,431.21
Chlamydia,274,Alabama,2013,Male,35-39 years,35-39,312,142291,219.27
Chlamydia,274,Alabama,2013,Male,40+ years,40+,323,1085009,29.77
Chlamydia,274,Alabama,2013,Male,Unknown,99,8,,
Chlamydia,274,Alabama,2014,Male,0-14 years,0-14,39,469840,8.3
Chlamydia,274,Alabama,2014,Male,15-19 years,15-19,1713,163751,1046.1
Chlamydia,274,Alabama,2014,Male,20-24 years,20-24,3471,178447,1945.12
Chlamydia,274,Alabama,2014,Male,25-29 years,25-29,1587,153647,1032.89
Chlamydia,274,Alabama,2014,Male,30-34 years,30-34,777,152362,509.97
Chlamydia,274,Alabama,2014,Male,35-39 years,35-39,354,142291,248.79
Chlamydia,274,Alabama,2014,Male,40+ years,40+,372,1085009,34.29
Chlamydia,274,Alabama,2014,Male,Unknown,99,5,,
Chlamydia,274,Alaska,1996,Male,0-14 years,0-14,3,80447,3.73
Chlamydia,274,Alaska,1996,Male,15-19 years,15-19,70,23843,293.59
Chlamydia,274,Alaska,1996,Male,20-24 years,20-24,93,20389,456.13
Chlamydia,274,Alaska,1996,Male,25-29 years,25-29,41,20809,197.03
Chlamydia,274,Alaska,1996,Male,30-34 years,30-34,19,30095,63.13
Chlamydia,274,Alaska,1996,Male,35-39 years,35-39,13,32485,40.02
Chlamydia,274,Alaska,1996,Male,40+ years,40+,18,108546,16.58
Chlamydia,274,Alaska,1996,Male,Unknown,99,6,,
Chlamydia,274,Alaska,1997,Male,0-14 years,0-14,3,81139,3.7
Chlamydia,274,Alaska,1997,Male,15-19 years,15-19,74,24669,299.97
Chlamydia,274,Alaska,1997,Male,20-24 years,20-24,128,20463,625.52
Chlamydia,274,Alaska,1997,Male,25-29 years,25-29,66,20378,323.88
Chlamydia,274,Alaska,1997,Male,30-34 years,30-34,15,28259,53.08
Chlamydia,274,Alaska,1997,Male,35-39 years,35-39,21,31562,66.54
Chlamydia,274,Alaska,1997,Male,40+ years,40+,14,111686,12.54
Chlamydia,274,Alaska,1997,Male,Unknown,99,4,,
Chlamydia,274,Alaska,1998,Male,0-14 years,0-14,4,82553,4.85
Chlamydia,274,Alaska,1998,Male,15-19 years,15-19,118,25684,459.43
Chlamydia,274,Alaska,1998,Male,20-24 years,20-24,172,20569,836.21
Chlamydia,274,Alaska,1998,Male,25-29 years,25-29,68,20931,324.88
Chlamydia,274,Alaska,1998,Male,30-34 years,30-34,29,26485,109.5
Chlamydia,274,Alaska,1998,Male,35-39 years,35-39,18,30640,58.75
Chlamydia,274,Alaska,1998,Male,40+ years,40+,16,114561,13.97
Chlamydia,274,Alaska,1998,Male,Unknown,99,3,,
Chlamydia,274,Alaska,1999,Male,0-14 years,0-14,2,81581,2.45
Chlamydia,274,Alaska,1999,Male,15-19 years,15-19,103,26165,393.66
Chlamydia,274,Alaska,1999,Male,20-24 years,20-24,154,20966,734.52
Chlamydia,274,Alaska,1999,Male,25-29 years,25-29,63,21634,291.21
Chlamydia,274,Alaska,1999,Male,30-34 years,30-34,39,25070,155.56
Chlamydia,274,Alaska,1999,Male,35-39 years,35-39,39,29718,131.23
Chlamydia,274,Alaska,1999,Male,40+ years,40+,24,118379,20.27
Chlamydia,274,Alaska,1999,Male,Unknown,99,6,,
Chlamydia,274,Alaska,2000,Male,0-14 years,0-14,3,80561,3.72
Chlamydia,274,Alaska,2000,Male,15-19 years,15-19,201,26813,749.64
Chlamydia,274,Alaska,2000,Male,20-24 years,20-24,257,21302,1206.46
Chlamydia,274,Alaska,2000,Male,25-29 years,25-29,114,21955,519.24
Chlamydia,274,Alaska,2000,Male,30-34 years,30-34,56,24017,233.17
Chlamydia,274,Alaska,2000,Male,35-39 years,35-39,40,28224,141.72
Chlamydia,274,Alaska,2000,Male,40+ years,40+,34,121717,27.93
Chlamydia,274,Alaska,2000,Male,Unknown,99,1,,
Chlamydia,274,Alaska,2001,Male,0-14 years,0-14,7,80287,8.72
Chlamydia,274,Alaska,2001,Male,15-19 years,15-19,191,28890,661.13
Chlamydia,274,Alaska,2001,Male,20-24 years,20-24,308,21685,1420.34
Chlamydia,274,Alaska,2001,Male,25-29 years,25-29,128,21243,602.55
Chlamydia,274,Alaska,2001,Male,30-34 years,30-34,39,23362,166.94
Chlamydia,274,Alaska,2001,Male,35-39 years,35-39,38,26947,141.02
Chlamydia,274,Alaska,2001,Male,40+ years,40+,52,125047,41.58
Chlamydia,274,Alaska,2002,Male,0-14 years,0-14,7,80876,8.66
Chlamydia,274,Alaska,2002,Male,15-19 years,15-19,294,29913,982.85
Chlamydia,274,Alaska,2002,Male,20-24 years,20-24,490,20209,2424.66
Chlamydia,274,Alaska,2002,Male,25-29 years,25-29,210,19449,1079.75
Chlamydia,274,Alaska,2002,Male,30-34 years,30-34,97,22492,431.26
Chlamydia,274,Alaska,2002,Male,35-39 years,35-39,65,25565,254.25
Chlamydia,274,Alaska,2002,Male,40+ years,40+,67,134617,49.77
Chlamydia,274,Alaska,2003,Male,0-14 years,0-14,8,79813,10.02
Chlamydia,274,Alaska,2003,Male,15-19 years,15-19,287,29803,962.99
Chlamydia,274,Alaska,2003,Male,20-24 years,20-24,513,25523,2009.95
Chlamydia,274,Alaska,2003,Male,25-29 years,25-29,215,19935,1078.51
Chlamydia,274,Alaska,2003,Male,30-34 years,30-34,78,22670,344.07
Chlamydia,274,Alaska,2003,Male,35-39 years,35-39,61,24956,244.43
Chlamydia,274,Alaska,2003,Male,40+ years,40+,73,132581,55.06
Chlamydia,274,Alaska,2004,Male,0-14 years,0-14,2,79389,2.52
Chlamydia,274,Alaska,2004,Male,15-19 years,15-19,256,29927,855.41
Chlamydia,274,Alaska,2004,Male,20-24 years,20-24,529,27929,1894.09
Chlamydia,274,Alaska,2004,Male,25-29 years,25-29,241,19939,1208.69
Chlamydia,274,Alaska,2004,Male,30-34 years,30-34,102,22183,459.81
Chlamydia,274,Alaska,2004,Male,35-39 years,35-39,74,24075,307.37
Chlamydia,274,Alaska,2004,Male,40+ years,40+,79,135468,58.32
Chlamydia,274,Alaska,2005,Male,0-14 years,0-14,3,79178,3.79
Chlamydia,274,Alaska,2005,Male,15-19 years,15-19,269,30139,892.53
Chlamydia,274,Alaska,2005,Male,20-24 years,20-24,589,29967,1965.5
Chlamydia,274,Alaska,2005,Male,25-29 years,25-29,290,19830,1462.43
Chlamydia,274,Alaska,2005,Male,30-34 years,30-34,119,21501,553.46
Chlamydia,274,Alaska,2005,Male,35-39 years,35-39,65,23765,273.51
Chlamydia,274,Alaska,2005,Male,40+ years,40+,112,138802,80.69
Chlamydia,274,Alaska,2006,Male,0-14 years,0-14,7,76222,9.18
Chlamydia,274,Alaska,2006,Male,15-19 years,15-19,273,27750,983.78
Chlamydia,274,Alaska,2006,Male,20-24 years,20-24,598,29499,2027.19
Chlamydia,274,Alaska,2006,Male,25-29 years,25-29,277,26580,1042.14
Chlamydia,274,Alaska,2006,Male,30-34 years,30-34,141,23410,602.31
Chlamydia,274,Alaska,2006,Male,35-39 years,35-39,66,24189,272.85
Chlamydia,274,Alaska,2006,Male,40+ years,40+,96,138761,69.18
Chlamydia,274,Alaska,2007,Male,0-14 years,0-14,3,76239,3.93
Chlamydia,274,Alaska,2007,Male,15-19 years,15-19,278,27992,993.14
Chlamydia,274,Alaska,2007,Male,20-24 years,20-24,662,30975,2137.21
Chlamydia,274,Alaska,2007,Male,25-29 years,25-29,343,29399,1166.71
Chlamydia,274,Alaska,2007,Male,30-34 years,30-34,150,23728,632.16
Chlamydia,274,Alaska,2007,Male,35-39 years,35-39,76,24874,305.54
Chlamydia,274,Alaska,2007,Male,40+ years,40+,104,141633,73.43
Chlamydia,274,Alaska,2008,Male,0-14 years,0-14,2,75775,2.64
Chlamydia,274,Alaska,2008,Male,15-19 years,15-19,287,27250,1053.21
Chlamydia,274,Alaska,2008,Male,20-24 years,20-24,647,32007,2021.43
Chlamydia,274,Alaska,2008,Male,25-29 years,25-29,351,31084,1129.2
Chlamydia,274,Alaska,2008,Male,30-34 years,30-34,151,24523,615.75
Chlamydia,274,Alaska,2008,Male,35-39 years,35-39,56,24575,227.87
Chlamydia,274,Alaska,2008,Male,40+ years,40+,114,142393,80.06
Chlamydia,274,Alaska,2009,Male,0-14 years,0-14,5,78359,6.38
Chlamydia,274,Alaska,2009,Male,15-19 years,15-19,348,27808,1251.44
Chlamydia,274,Alaska,2009,Male,20-24 years,20-24,721,32283,2233.37
Chlamydia,274,Alaska,2009,Male,25-29 years,25-29,362,32186,1124.71
Chlamydia,274,Alaska,2009,Male,30-34 years,30-34,187,24485,763.73
Chlamydia,274,Alaska,2009,Male,35-39 years,35-39,77,23565,326.76
Chlamydia,274,Alaska,2009,Male,40+ years,40+,102,143539,71.06
Chlamydia,274,Alaska,2010,Male,0-14 years,0-14,3,80081,3.75
Chlamydia,274,Alaska,2010,Male,15-19 years,15-19,340,27179,1250.97
Chlamydia,274,Alaska,2010,Male,20-24 years,20-24,871,29706,2932.07
Chlamydia,274,Alaska,2010,Male,25-29 years,25-29,461,29307,1573
Chlamydia,274,Alaska,2010,Male,30-34 years,30-34,180,24861,724.03
Chlamydia,274,Alaska,2010,Male,35-39 years,35-39,94,23731,396.11
Chlamydia,274,Alaska,2010,Male,40+ years,40+,109,154763,70.43
Chlamydia,274,Alaska,2011,Male,0-14 years,0-14,3,80871,3.71
Chlamydia,274,Alaska,2011,Male,15-19 years,15-19,374,27101,1380.02
Chlamydia,274,Alaska,2011,Male,20-24 years,20-24,773,30617,2524.74
Chlamydia,274,Alaska,2011,Male,25-29 years,25-29,395,29944,1319.13
Chlamydia,274,Alaska,2011,Male,30-34 years,30-34,202,25613,788.66
Chlamydia,274,Alaska,2011,Male,35-39 years,35-39,67,23084,290.24
Chlamydia,274,Alaska,2011,Male,40+ years,40+,124,157962,78.5
Chlamydia,274,Alaska,2012,Male,0-14 years,0-14,6,80710,7.43
Chlamydia,274,Alaska,2012,Male,15-19 years,15-19,278,26311,1056.59
Chlamydia,274,Alaska,2012,Male,20-24 years,20-24,663,33281,1992.13
Chlamydia,274,Alaska,2012,Male,25-29 years,25-29,442,31299,1412.19
Chlamydia,274,Alaska,2012,Male,30-34 years,30-34,196,27335,717.03
Chlamydia,274,Alaska,2012,Male,35-39 years,35-39,75,23325,321.54
Chlamydia,274,Alaska,2012,Male,40+ years,40+,132,158977,83.03
Chlamydia,274,Alaska,2013,Male,0-14 years,0-14,3,81467,3.68
Chlamydia,274,Alaska,2013,Male,15-19 years,15-19,273,26096,1046.14
Chlamydia,274,Alaska,2013,Male,20-24 years,20-24,729,36122,2018.16
Chlamydia,274,Alaska,2013,Male,25-29 years,25-29,414,33138,1249.32
Chlamydia,274,Alaska,2013,Male,30-34 years,30-34,214,28401,753.5
Chlamydia,274,Alaska,2013,Male,35-39 years,35-39,90,23548,382.2
Chlamydia,274,Alaska,2013,Male,40+ years,40+,152,156796,96.94
Chlamydia,274,Alaska,2014,Male,0-14 years,0-14,9,81467,11.05
Chlamydia,274,Alaska,2014,Male,15-19 years,15-19,252,26096,965.66
Chlamydia,274,Alaska,2014,Male,20-24 years,20-24,680,36122,1882.51
Chlamydia,274,Alaska,2014,Male,25-29 years,25-29,446,33138,1345.89
Chlamydia,274,Alaska,2014,Male,30-34 years,30-34,206,28401,725.33
Chlamydia,274,Alaska,2014,Male,35-39 years,35-39,115,23548,488.36
Chlamydia,274,Alaska,2014,Male,40+ years,40+,141,156796,89.93
Chlamydia,274,Arizona,1996,Male,0-14 years,0-14,19,523461,3.63
Chlamydia,274,Arizona,1996,Male,15-19 years,15-19,516,165283,312.19
Chlamydia,274,Arizona,1996,Male,20-24 years,20-24,738,164139,449.62
Chlamydia,274,Arizona,1996,Male,25-29 years,25-29,390,182395,213.82
Chlamydia,274,Arizona,1996,Male,30-34 years,30-34,185,193790,95.46
Chlamydia,274,Arizona,1996,Male,35-39 years,35-39,107,188255,56.84
Chlamydia,274,Arizona,1996,Male,40+ years,40+,102,862735,11.82
Chlamydia,274,Arizona,1997,Male,0-14 years,0-14,26,530746,4.9
Chlamydia,274,Arizona,1997,Male,15-19 years,15-19,551,172731,318.99
Chlamydia,274,Arizona,1997,Male,20-24 years,20-24,766,170636,448.91
Chlamydia,274,Arizona,1997,Male,25-29 years,25-29,398,188648,210.97
Chlamydia,274,Arizona,1997,Male,30-34 years,30-34,215,193672,111.01
Chlamydia,274,Arizona,1997,Male,35-39 years,35-39,106,194774,54.42
Chlamydia,274,Arizona,1997,Male,40+ years,40+,122,906196,13.46
Chlamydia,274,Arizona,1998,Male,0-14 years,0-14,26,552243,4.71
Chlamydia,274,Arizona,1998,Male,15-19 years,15-19,686,180618,379.81
Chlamydia,274,Arizona,1998,Male,20-24 years,20-24,801,176713,453.28
Chlamydia,274,Arizona,1998,Male,25-29 years,25-29,447,191134,233.87
Chlamydia,274,Arizona,1998,Male,30-34 years,30-34,214,190931,112.08
Chlamydia,274,Arizona,1998,Male,35-39 years,35-39,165,197762,83.43
Chlamydia,274,Arizona,1998,Male,40+ years,40+,116,943353,12.3
Chlamydia,274,Arizona,1999,Male,0-14 years,0-14,33,573729,5.75
Chlamydia,274,Arizona,1999,Male,15-19 years,15-19,699,186468,374.86
Chlamydia,274,Arizona,1999,Male,20-24 years,20-24,907,184588,491.37
Chlamydia,274,Arizona,1999,Male,25-29 years,25-29,486,193387,251.31
Chlamydia,274,Arizona,1999,Male,30-34 years,30-34,216,190370,113.46
Chlamydia,274,Arizona,1999,Male,35-39 years,35-39,124,199784,62.07
Chlamydia,274,Arizona,1999,Male,40+ years,40+,131,977198,13.41
Chlamydia,274,Arizona,2000,Male,0-14 years,0-14,31,612113,5.06
Chlamydia,274,Arizona,2000,Male,15-19 years,15-19,581,192286,302.15
Chlamydia,274,Arizona,2000,Male,20-24 years,20-24,924,190810,484.25
Chlamydia,274,Arizona,2000,Male,25-29 years,25-29,505,193040,261.6
Chlamydia,274,Arizona,2000,Male,30-34 years,30-34,259,191102,135.53
Chlamydia,274,Arizona,2000,Male,35-39 years,35-39,155,197053,78.66
Chlamydia,274,Arizona,2000,Male,40+ years,40+,132,1003548,13.15
Chlamydia,274,Arizona,2001,Male,0-14 years,0-14,47,620120,7.58
Chlamydia,274,Arizona,2001,Male,15-19 years,15-19,738,193410,381.57
Chlamydia,274,Arizona,2001,Male,20-24 years,20-24,1139,197951,575.39
Chlamydia,274,Arizona,2001,Male,25-29 years,25-29,626,196279,318.93
Chlamydia,274,Arizona,2001,Male,30-34 years,30-34,305,198925,153.32
Chlamydia,274,Arizona,2001,Male,35-39 years,35-39,159,198689,80.02
Chlamydia,274,Arizona,2001,Male,40+ years,40+,138,1044725,13.21
Chlamydia,274,Arizona,2002,Male,0-14 years,0-14,37,636272,5.82
Chlamydia,274,Arizona,2002,Male,15-19 years,15-19,785,197443,397.58
Chlamydia,274,Arizona,2002,Male,20-24 years,20-24,1186,204341,580.4
Chlamydia,274,Arizona,2002,Male,25-29 years,25-29,628,200324,313.49
Chlamydia,274,Arizona,2002,Male,30-34 years,30-34,320,205659,155.6
Chlamydia,274,Arizona,2002,Male,35-39 years,35-39,168,198578,84.6
Chlamydia,274,Arizona,2002,Male,40+ years,40+,179,1083239,16.52
Chlamydia,274,Arizona,2003,Male,0-14 years,0-14,33,655150,5.04
Chlamydia,274,Arizona,2003,Male,15-19 years,15-19,711,200447,354.71
Chlamydia,274,Arizona,2003,Male,20-24 years,20-24,1022,210017,486.63
Chlamydia,274,Arizona,2003,Male,25-29 years,25-29,494,209445,235.86
Chlamydia,274,Arizona,2003,Male,30-34 years,30-34,239,211342,113.09
Chlamydia,274,Arizona,2003,Male,35-39 years,35-39,137,198353,69.07
Chlamydia,274,Arizona,2003,Male,40+ years,40+,136,1106753,12.29
Chlamydia,274,Arizona,2004,Male,0-14 years,0-14,38,666103,5.7
Chlamydia,274,Arizona,2004,Male,15-19 years,15-19,963,206355,466.67
Chlamydia,274,Arizona,2004,Male,20-24 years,20-24,1408,215637,652.95
Chlamydia,274,Arizona,2004,Male,25-29 years,25-29,720,218615,329.35
Chlamydia,274,Arizona,2004,Male,30-34 years,30-34,385,216754,177.62
Chlamydia,274,Arizona,2004,Male,35-39 years,35-39,173,201880,85.69
Chlamydia,274,Arizona,2004,Male,40+ years,40+,197,1148319,17.16
Chlamydia,274,Arizona,2005,Male,0-14 years,0-14,53,677094,7.83
Chlamydia,274,Arizona,2005,Male,15-19 years,15-19,1142,214438,532.55
Chlamydia,274,Arizona,2005,Male,20-24 years,20-24,1771,220672,802.55
Chlamydia,274,Arizona,2005,Male,25-29 years,25-29,1019,229042,444.9
Chlamydia,274,Arizona,2005,Male,30-34 years,30-34,515,221271,232.75
Chlamydia,274,Arizona,2005,Male,35-39 years,35-39,270,209672,128.77
Chlamydia,274,Arizona,2005,Male,40+ years,40+,288,1200885,23.98
Chlamydia,274,Arizona,2006,Male,0-14 years,0-14,36,696043,5.17
Chlamydia,274,Arizona,2006,Male,15-19 years,15-19,1269,220506,575.5
Chlamydia,274,Arizona,2006,Male,20-24 years,20-24,1957,225613,867.41
